,UserID,HotelID,Number_Booked,Number_Booked_log
13656,9469021,2956,2,1.69314718055995
13664,9469022,2956,1,1
13699,9469024,2956,2,1.69314718055995
14095,9469098,2956,3,2.09861228866811
14168,9469115,2956,1,1
15193,9469403,2956,1,1
15673,9471432,2956,2,1.69314718055995
16210,9473754,2956,1,1
3,2976,50705,1,1
890,9464507,50705,1,1
2815,9465873,50705,4,2.38629436111989
3076,9465984,50705,3,2.09861228866811
4064,9466220,50705,1,1
4175,9466230,50705,1,1
4481,9466308,50705,1,1
6215,9466726,50705,2,1.69314718055995
6389,9466787,50705,1,1
6926,9466943,50705,3,2.09861228866811
7251,9467020,50705,3,2.09861228866811
7371,9467052,50705,10,3.30258509299405
7429,9467073,50705,2,1.69314718055995
7467,9467078,50705,1,1
7540,9467109,50705,2,1.69314718055995
8029,9467255,50705,3,2.09861228866811
8491,9467345,50705,1,1
8710,9467405,50705,1,1
8767,9467423,50705,1,1
9205,9467588,50705,5,2.6094379124341
9366,9467625,50705,6,2.79175946922805
9409,9467634,50705,1,1
9570,9467677,50705,2,1.69314718055995
10660,9468050,50705,1,1
10969,9468189,50705,1,1
11249,9468265,50705,2,1.69314718055995
11844,9468425,50705,2,1.69314718055995
12012,9468430,50705,67,5.20469261939097
13742,9469027,50705,11,3.39789527279837
13808,9469042,50705,2,1.69314718055995
14643,9469229,50705,1,1
14668,9469237,50705,3,2.09861228866811
14827,9469260,50705,1,1
4,2976,88879,3,2.09861228866811
10,3101,88879,2,1.69314718055995
20,4845,88879,1,1
54,9459937,88879,34,4.52636052461616
102,9460188,88879,1,1
183,9463919,88879,1,1
200,9463950,88879,9,3.19722457733622
236,9463953,88879,3,2.09861228866811
256,9463962,88879,1,1
266,9463965,88879,1,1
281,9463986,88879,2,1.69314718055995
296,9464030,88879,7,2.94591014905531
332,9464060,88879,1,1
344,9464066,88879,5,2.6094379124341
375,9464080,88879,1,1
397,9464101,88879,1,1
415,9464104,88879,1,1
428,9464141,88879,2,1.69314718055995
437,9464152,88879,12,3.484906649788
468,9464174,88879,2,1.69314718055995
481,9464189,88879,1,1
491,9464211,88879,2,1.69314718055995
501,9464248,88879,2,1.69314718055995
511,9464249,88879,7,2.94591014905531
546,9464251,88879,1,1
550,9464252,88879,5,2.6094379124341
574,9464256,88879,2,1.69314718055995
591,9464279,88879,2,1.69314718055995
618,9464294,88879,1,1
664,9464319,88879,1,1
682,9464340,88879,5,2.6094379124341
705,9464350,88879,5,2.6094379124341
710,9464354,88879,3,2.09861228866811
746,9464391,88879,2,1.69314718055995
756,9464395,88879,8,3.07944154167984
803,9464435,88879,4,2.38629436111989
828,9464475,88879,4,2.38629436111989
845,9464478,88879,3,2.09861228866811
877,9464505,88879,1,1
899,9464508,88879,2,1.69314718055995
910,9464513,88879,1,1
932,9464544,88879,3,2.09861228866811
969,9464560,88879,5,2.6094379124341
985,9464568,88879,4,2.38629436111989
1012,9464608,88879,1,1
1082,9464658,88879,1,1
1088,9464659,88879,1,1
1103,9464669,88879,1,1
1123,9464683,88879,2,1.69314718055995
1129,9464699,88879,2,1.69314718055995
1154,9464712,88879,1,1
1162,9464734,88879,2,1.69314718055995
1170,9464739,88879,1,1
1178,9464745,88879,1,1
1192,9464753,88879,3,2.09861228866811
1202,9464770,88879,2,1.69314718055995
1249,9464840,88879,1,1
1261,9464878,88879,3,2.09861228866811
1272,9464879,88879,4,2.38629436111989
1295,9464882,88879,1,1
1318,9464888,88879,1,1
1324,9464896,88879,1,1
1331,9464901,88879,1,1
1344,9464913,88879,1,1
1358,9464919,88879,1,1
1371,9464955,88879,1,1
1396,9464982,88879,1,1
1412,9464991,88879,1,1
1426,9465000,88879,1,1
1437,9465024,88879,2,1.69314718055995
1468,9465051,88879,3,2.09861228866811
1513,9465059,88879,1,1
1533,9465071,88879,1,1
1539,9465091,88879,1,1
1562,9465097,88879,1,1
1606,9465126,88879,7,2.94591014905531
1631,9465130,88879,6,2.79175946922805
1654,9465133,88879,1,1
1662,9465144,88879,1,1
1674,9465175,88879,4,2.38629436111989
1690,9465178,88879,5,2.6094379124341
1706,9465181,88879,5,2.6094379124341
1762,9465261,88879,1,1
1784,9465280,88879,1,1
1792,9465282,88879,2,1.69314718055995
1814,9465320,88879,5,2.6094379124341
1835,9465351,88879,4,2.38629436111989
1847,9465365,88879,4,2.38629436111989
1859,9465372,88879,3,2.09861228866811
1866,9465373,88879,1,1
1876,9465393,88879,4,2.38629436111989
1890,9465416,88879,1,1
1917,9465472,88879,2,1.69314718055995
1926,9465479,88879,1,1
1971,9465561,88879,2,1.69314718055995
1996,9465577,88879,5,2.6094379124341
2023,9465584,88879,2,1.69314718055995
2039,9465592,88879,3,2.09861228866811
2068,9465625,88879,11,3.39789527279837
2110,9465667,88879,1,1
2129,9465676,88879,1,1
2206,9465766,88879,2,1.69314718055995
2213,9465768,88879,3,2.09861228866811
2235,9465782,88879,8,3.07944154167984
2254,9465783,88879,1,1
2274,9465793,88879,36,4.58351893845611
2382,9465799,88879,4,2.38629436111989
2399,9465800,88879,1,1
2424,9465805,88879,2,1.69314718055995
2442,9465809,88879,2,1.69314718055995
2463,9465810,88879,1,1
2482,9465815,88879,6,2.79175946922805
2522,9465826,88879,4,2.38629436111989
2575,9465829,88879,18,3.89037175789616
2676,9465847,88879,1,1
2687,9465854,88879,3,2.09861228866811
2701,9465861,88879,9,3.19722457733622
2730,9465863,88879,21,4.04452243772342
2803,9465865,88879,2,1.69314718055995
2810,9465870,88879,1,1
2819,9465876,88879,1,1
2839,9465881,88879,8,3.07944154167984
2874,9465891,88879,2,1.69314718055995
2891,9465897,88879,3,2.09861228866811
2921,9465921,88879,3,2.09861228866811
2942,9465927,88879,1,1
2959,9465928,88879,1,1
3008,9465947,88879,27,4.29583686600433
3057,9465971,88879,2,1.69314718055995
3077,9465984,88879,2,1.69314718055995
3098,9465997,88879,5,2.6094379124341
3135,9466004,88879,9,3.19722457733622
3163,9466007,88879,1,1
3168,9466010,88879,2,1.69314718055995
3179,9466014,88879,1,1
3187,9466019,88879,1,1
3220,9466034,88879,1,1
3243,9466042,88879,1,1
3259,9466045,88879,1,1
3267,9466046,88879,2,1.69314718055995
3305,9466055,88879,13,3.56494935746154
3369,9466060,88879,4,2.38629436111989
3396,9466066,88879,2,1.69314718055995
3485,9466094,88879,8,3.07944154167984
3520,9466103,88879,1,1
3550,9466104,88879,6,2.79175946922805
3584,9466106,88879,4,2.38629436111989
3605,9466108,88879,6,2.79175946922805
3620,9466110,88879,4,2.38629436111989
3628,9466114,88879,3,2.09861228866811
3643,9466121,88879,2,1.69314718055995
3666,9466127,88879,1,1
3688,9466129,88879,2,1.69314718055995
3700,9466137,88879,3,2.09861228866811
3707,9466141,88879,1,1
3725,9466147,88879,12,3.484906649788
3777,9466156,88879,1,1
3823,9466176,88879,1,1
3830,9466178,88879,9,3.19722457733622
3846,9466180,88879,6,2.79175946922805
3875,9466183,88879,11,3.39789527279837
3973,9466209,88879,8,3.07944154167984
4043,9466213,88879,5,2.6094379124341
4059,9466218,88879,1,1
4066,9466220,88879,1,1
4116,9466225,88879,14,3.63905732961526
4155,9466227,88879,1,1
4184,9466230,88879,9,3.19722457733622
4270,9466239,88879,1,1
4316,9466266,88879,11,3.39789527279837
4371,9466275,88879,1,1
4381,9466278,88879,2,1.69314718055995
4403,9466286,88879,2,1.69314718055995
4433,9466297,88879,1,1
4474,9466302,88879,1,1
4488,9466309,88879,1,1
4514,9466312,88879,15,3.70805020110221
4588,9466316,88879,1,1
4616,9466329,88879,1,1
4630,9466341,88879,1,1
4668,9466355,88879,4,2.38629436111989
4684,9466363,88879,2,1.69314718055995
4704,9466371,88879,14,3.63905732961526
4773,9466386,88879,2,1.69314718055995
4798,9466391,88879,3,2.09861228866811
4824,9466392,88879,11,3.39789527279837
4890,9466405,88879,1,1
4903,9466409,88879,1,1
4926,9466411,88879,1,1
4936,9466414,88879,1,1
4958,9466422,88879,5,2.6094379124341
4978,9466428,88879,1,1
5057,9466435,88879,2,1.69314718055995
5067,9466442,88879,2,1.69314718055995
5117,9466471,88879,5,2.6094379124341
5165,9466473,88879,2,1.69314718055995
5211,9466488,88879,4,2.38629436111989
5290,9466496,88879,3,2.09861228866811
5316,9466507,88879,3,2.09861228866811
5349,9466512,88879,1,1
5360,9466515,88879,4,2.38629436111989
5377,9466517,88879,2,1.69314718055995
5379,9466523,88879,1,1
5388,9466542,88879,7,2.94591014905531
5402,9466544,88879,2,1.69314718055995
5413,9466549,88879,2,1.69314718055995
5430,9466554,88879,1,1
5449,9466557,88879,88,5.47733681447821
5524,9466565,88879,1,1
5545,9466566,88879,3,2.09861228866811
5557,9466577,88879,4,2.38629436111989
5573,9466589,88879,4,2.38629436111989
5593,9466594,88879,13,3.56494935746154
5612,9466595,88879,4,2.38629436111989
5638,9466598,88879,1,1
5657,9466599,88879,1,1
5679,9466604,88879,2,1.69314718055995
5688,9466605,88879,1,1
5698,9466610,88879,8,3.07944154167984
5711,9466617,88879,4,2.38629436111989
5718,9466619,88879,1,1
5737,9466622,88879,1,1
5756,9466625,88879,2,1.69314718055995
5785,9466636,88879,2,1.69314718055995
5799,9466639,88879,4,2.38629436111989
5806,9466640,88879,1,1
5831,9466648,88879,1,1
5861,9466653,88879,1,1
5866,9466661,88879,1,1
5880,9466664,88879,12,3.484906649788
5924,9466679,88879,3,2.09861228866811
5948,9466691,88879,5,2.6094379124341
6023,9466692,88879,4,2.38629436111989
6045,9466696,88879,8,3.07944154167984
6080,9466709,88879,1,1
6095,9466710,88879,3,2.09861228866811
6131,9466719,88879,6,2.79175946922805
6188,9466721,88879,2,1.69314718055995
6267,9466740,88879,2,1.69314718055995
6281,9466746,88879,6,2.79175946922805
6327,9466753,88879,3,2.09861228866811
6335,9466756,88879,2,1.69314718055995
6356,9466774,88879,3,2.09861228866811
6377,9466782,88879,2,1.69314718055995
6381,9466785,88879,1,1
6391,9466787,88879,1,1
6450,9466799,88879,5,2.6094379124341
6525,9466835,88879,4,2.38629436111989
6549,9466843,88879,2,1.69314718055995
6630,9466850,88879,1,1
6648,9466851,88879,6,2.79175946922805
6710,9466853,88879,1,1
6714,9466863,88879,1,1
6740,9466869,88879,1,1
6753,9466876,88879,1,1
6808,9466881,88879,2,1.69314718055995
6849,9466907,88879,1,1
6864,9466913,88879,5,2.6094379124341
6892,9466918,88879,1,1
6898,9466920,88879,1,1
6906,9466925,88879,2,1.69314718055995
6933,9466953,88879,2,1.69314718055995
6951,9466954,88879,2,1.69314718055995
7006,9466978,88879,3,2.09861228866811
7041,9466986,88879,1,1
7045,9466988,88879,1,1
7081,9466991,88879,1,1
7090,9466992,88879,3,2.09861228866811
7117,9467000,88879,5,2.6094379124341
7132,9467001,88879,1,1
7138,9467004,88879,2,1.69314718055995
7157,9467012,88879,3,2.09861228866811
7256,9467020,88879,1,1
7297,9467027,88879,3,2.09861228866811
7319,9467034,88879,9,3.19722457733622
7356,9467043,88879,3,2.09861228866811
7376,9467052,88879,12,3.484906649788
7417,9467065,88879,6,2.79175946922805
7482,9467092,88879,4,2.38629436111989
7524,9467101,88879,1,1
7567,9467110,88879,1,1
7594,9467119,88879,3,2.09861228866811
7635,9467143,88879,4,2.38629436111989
7667,9467145,88879,8,3.07944154167984
7733,9467153,88879,1,1
7740,9467156,88879,6,2.79175946922805
7773,9467157,88879,2,1.69314718055995
7793,9467166,88879,4,2.38629436111989
7808,9467172,88879,1,1
7822,9467186,88879,1,1
7833,9467188,88879,11,3.39789527279837
7866,9467197,88879,1,1
7889,9467202,88879,1,1
7896,9467203,88879,5,2.6094379124341
7933,9467214,88879,1,1
7947,9467217,88879,2,1.69314718055995
7953,9467229,88879,2,1.69314718055995
7959,9467243,88879,2,1.69314718055995
7980,9467252,88879,10,3.30258509299405
8010,9467254,88879,2,1.69314718055995
8037,9467255,88879,93,5.53259949315326
8166,9467257,88879,4,2.38629436111989
8185,9467268,88879,1,1
8192,9467273,88879,3,2.09861228866811
8229,9467288,88879,1,1
8278,9467304,88879,10,3.30258509299405
8327,9467305,88879,1,1
8342,9467314,88879,22,4.09104245335832
8401,9467315,88879,1,1
8411,9467326,88879,1,1
8452,9467333,88879,2,1.69314718055995
8462,9467335,88879,3,2.09861228866811
8493,9467345,88879,2,1.69314718055995
8526,9467352,88879,1,1
8573,9467383,88879,8,3.07944154167984
8606,9467388,88879,2,1.69314718055995
8623,9467393,88879,2,1.69314718055995
8637,9467394,88879,10,3.30258509299405
8659,9467397,88879,6,2.79175946922805
8674,9467398,88879,1,1
8696,9467400,88879,2,1.69314718055995
8715,9467405,88879,6,2.79175946922805
8743,9467419,88879,3,2.09861228866811
8768,9467423,88879,1,1
8772,9467426,88879,1,1
8812,9467437,88879,4,2.38629436111989
8841,9467453,88879,1,1
8857,9467457,88879,2,1.69314718055995
8865,9467458,88879,7,2.94591014905531
8874,9467468,88879,1,1
8902,9467470,88879,1,1
8911,9467474,88879,1,1
8967,9467519,88879,1,1
8979,9467528,88879,1,1
9007,9467532,88879,101,5.61512051684126
9073,9467543,88879,3,2.09861228866811
9122,9467550,88879,1,1
9150,9467573,88879,5,2.6094379124341
9166,9467574,88879,2,1.69314718055995
9173,9467582,88879,4,2.38629436111989
9212,9467588,88879,1,1
9299,9467600,88879,5,2.6094379124341
9306,9467602,88879,1,1
9321,9467607,88879,6,2.79175946922805
9370,9467625,88879,3,2.09861228866811
9394,9467630,88879,4,2.38629436111989
9423,9467636,88879,1,1
9479,9467650,88879,2,1.69314718055995
9485,9467655,88879,1,1
9606,9467683,88879,1,1
9623,9467695,88879,5,2.6094379124341
9668,9467717,88879,1,1
9673,9467731,88879,3,2.09861228866811
9705,9467733,88879,1,1
9735,9467736,88879,2,1.69314718055995
9744,9467746,88879,1,1
9793,9467759,88879,3,2.09861228866811
9801,9467762,88879,1,1
9826,9467772,88879,1,1
9831,9467774,88879,1,1
9844,9467780,88879,1,1
9896,9467819,88879,3,2.09861228866811
9949,9467826,88879,1,1
9953,9467829,88879,3,2.09861228866811
9973,9467847,88879,1,1
9979,9467849,88879,1,1
9988,9467853,88879,2,1.69314718055995
10001,9467866,88879,5,2.6094379124341
10100,9467885,88879,3,2.09861228866811
10108,9467888,88879,2,1.69314718055995
10135,9467898,88879,4,2.38629436111989
10195,9467899,88879,3,2.09861228866811
10208,9467909,88879,3,2.09861228866811
10259,9467957,88879,1,1
10273,9467983,88879,2,1.69314718055995
10288,9468004,88879,3,2.09861228866811
10345,9468018,88879,44,4.78418963391826
10639,9468037,88879,1,1
10649,9468038,88879,7,2.94591014905531
10706,9468057,88879,8,3.07944154167984
10745,9468058,88879,2,1.69314718055995
10751,9468062,88879,1,1
10758,9468067,88879,1,1
10774,9468074,88879,2,1.69314718055995
10784,9468095,88879,2,1.69314718055995
10793,9468099,88879,2,1.69314718055995
10798,9468103,88879,1,1
10803,9468107,88879,1,1
10822,9468113,88879,1,1
10904,9468139,88879,3,2.09861228866811
10922,9468160,88879,3,2.09861228866811
10954,9468167,88879,2,1.69314718055995
10972,9468189,88879,4,2.38629436111989
10996,9468195,88879,1,1
11029,9468210,88879,3,2.09861228866811
11059,9468212,88879,4,2.38629436111989
11086,9468214,88879,2,1.69314718055995
11109,9468226,88879,1,1
11127,9468230,88879,1,1
11134,9468234,88879,2,1.69314718055995
11151,9468247,88879,6,2.79175946922805
11170,9468252,88879,3,2.09861228866811
11220,9468256,88879,1,1
11229,9468257,88879,3,2.09861228866811
11252,9468265,88879,5,2.6094379124341
11281,9468266,88879,3,2.09861228866811
11322,9468299,88879,1,1
11392,9468317,88879,1,1
11413,9468327,88879,1,1
11420,9468331,88879,2,1.69314718055995
11438,9468333,88879,1,1
11472,9468337,88879,8,3.07944154167984
11524,9468345,88879,1,1
11602,9468353,88879,1,1
11620,9468360,88879,4,2.38629436111989
11674,9468369,88879,4,2.38629436111989
11687,9468370,88879,1,1
11715,9468381,88879,1,1
11725,9468396,88879,1,1
11831,9468422,88879,1,1
11852,9468425,88879,4,2.38629436111989
11926,9468426,88879,1,1
11936,9468427,88879,4,2.38629436111989
12053,9468430,88879,2138,8.66762609158499
13093,9468438,88879,5,2.6094379124341
13097,9468439,88879,2,1.69314718055995
13105,9468440,88879,6,2.79175946922805
13131,9468446,88879,1,1
13152,9468449,88879,7,2.94591014905531
13224,9468452,88879,3,2.09861228866811
13260,9468463,88879,3,2.09861228866811
13273,9468465,88879,4,2.38629436111989
13310,9468476,88879,1,1
13319,9468481,88879,6,2.79175946922805
13328,9468552,88879,1,1
13368,9468946,88879,1,1
13382,9468961,88879,1,1
13437,9468986,88879,2,1.69314718055995
13485,9468993,88879,2,1.69314718055995
13506,9468999,88879,1,1
13578,9469011,88879,2,1.69314718055995
13604,9469013,88879,4,2.38629436111989
13672,9469022,88879,3,2.09861228866811
13706,9469024,88879,5,2.6094379124341
13847,9469047,88879,1,1
13885,9469054,88879,1,1
13905,9469060,88879,7,2.94591014905531
13948,9469062,88879,2,1.69314718055995
14001,9469076,88879,2,1.69314718055995
14037,9469085,88879,1,1
14055,9469086,88879,2,1.69314718055995
14097,9469098,88879,4,2.38629436111989
14122,9469100,88879,1,1
14136,9469105,88879,2,1.69314718055995
14148,9469114,88879,11,3.39789527279837
14179,9469120,88879,3,2.09861228866811
14197,9469129,88879,2,1.69314718055995
14205,9469132,88879,1,1
14248,9469141,88879,1,1
14257,9469143,88879,5,2.6094379124341
14381,9469153,88879,1,1
14403,9469168,88879,1,1
14406,9469171,88879,1,1
14499,9469213,88879,5,2.6094379124341
14546,9469214,88879,1,1
14568,9469215,88879,3,2.09861228866811
14590,9469222,88879,5,2.6094379124341
14627,9469224,88879,5,2.6094379124341
14660,9469235,88879,2,1.69314718055995
14780,9469247,88879,2,1.69314718055995
14836,9469263,88879,1,1
14861,9469264,88879,3,2.09861228866811
14874,9469271,88879,1,1
14890,9469278,88879,1,1
14921,9469279,88879,1,1
14925,9469282,88879,1,1
14943,9469288,88879,1,1
15011,9469303,88879,1,1
15028,9469304,88879,1,1
15090,9469321,88879,1,1
15105,9469332,88879,2,1.69314718055995
15123,9469343,88879,6,2.79175946922805
15217,9469421,88879,1,1
15249,9469519,88879,1,1
15274,9469543,88879,3,2.09861228866811
15284,9469544,88879,2,1.69314718055995
15316,9469606,88879,1,1
15362,9470489,88879,3,2.09861228866811
15391,9470579,88879,1,1
15430,9470902,88879,7,2.94591014905531
15449,9470931,88879,1,1
15460,9470996,88879,1,1
15469,9471137,88879,2,1.69314718055995
15479,9471158,88879,4,2.38629436111989
15484,9471184,88879,1,1
15499,9471233,88879,2,1.69314718055995
15556,9471258,88879,3,2.09861228866811
15614,9471337,88879,1,1
15676,9471432,88879,1,1
15702,9471433,88879,1,1
15709,9471436,88879,1,1
15734,9471447,88879,2,1.69314718055995
15752,9471450,88879,4,2.38629436111989
15796,9471501,88879,1,1
15827,9471600,88879,1,1
15856,9471681,88879,6,2.79175946922805
15885,9471784,88879,1,1
15920,9471928,88879,2,1.69314718055995
15943,9472160,88879,1,1
15958,9472250,88879,1,1
15974,9472266,88879,1,1
15980,9472275,88879,1,1
16029,9472365,88879,3,2.09861228866811
16034,9472375,88879,1,1
16038,9472392,88879,1,1
16060,9472572,88879,1,1
16110,9472929,88879,2,1.69314718055995
16131,9473154,88879,1,1
16207,9473752,88879,1,1
16228,9473789,88879,1,1
16239,9473804,88879,1,1
16373,9473990,88879,1,1
16406,9474121,88879,1,1
16426,9474301,88879,1,1
5,2976,109403,5,2.6094379124341
23,4845,109403,1,1
26,9459793,109403,2,1.69314718055995
78,9459937,109403,18,3.89037175789616
218,9463950,109403,1,1
291,9464010,109403,1,1
307,9464035,109403,1,1
322,9464044,109403,1,1
358,9464066,109403,1,1
383,9464080,109403,1,1
416,9464104,109403,1,1
444,9464152,109403,6,2.79175946922805
494,9464211,109403,1,1
522,9464249,109403,2,1.69314718055995
558,9464252,109403,1,1
583,9464272,109403,2,1.69314718055995
603,9464279,109403,2,1.69314718055995
625,9464295,109403,2,1.69314718055995
670,9464335,109403,1,1
697,9464342,109403,1,1
738,9464371,109403,1,1
807,9464435,109403,1,1
836,9464475,109403,1,1
881,9464505,109403,1,1
903,9464508,109403,1,1
919,9464513,109403,3,2.09861228866811
945,9464544,109403,5,2.6094379124341
1018,9464608,109403,2,1.69314718055995
1059,9464617,109403,1,1
1094,9464659,109403,3,2.09861228866811
1109,9464669,109403,1,1
1157,9464712,109403,1,1
1171,9464739,109403,2,1.69314718055995
1204,9464770,109403,4,2.38629436111989
1239,9464832,109403,2,1.69314718055995
1307,9464882,109403,1,1
1367,9464922,109403,1,1
1440,9465024,109403,2,1.69314718055995
1443,9465027,109403,1,1
1458,9465045,109403,1,1
1481,9465051,109403,6,2.79175946922805
1536,9465071,109403,1,1
1543,9465091,109403,1,1
1624,9465128,109403,1,1
1641,9465130,109403,3,2.09861228866811
1670,9465169,109403,2,1.69314718055995
1717,9465181,109403,1,1
1818,9465320,109403,1,1
1862,9465372,109403,2,1.69314718055995
1875,9465387,109403,1,1
1883,9465393,109403,1,1
1895,9465416,109403,1,1
1919,9465472,109403,2,1.69314718055995
1935,9465479,109403,1,1
1977,9465568,109403,1,1
2005,9465577,109403,1,1
2052,9465599,109403,1,1
2077,9465625,109403,1,1
2116,9465667,109403,2,1.69314718055995
2136,9465676,109403,1,1
2172,9465754,109403,1,1
2208,9465766,109403,1,1
2240,9465782,109403,2,1.69314718055995
2304,9465793,109403,11,3.39789527279837
2387,9465799,109403,2,1.69314718055995
2600,9465829,109403,11,3.39789527279837
2710,9465861,109403,1,1
2766,9465863,109403,4,2.38629436111989
2907,9465904,109403,1,1
2932,9465921,109403,1,1
2947,9465927,109403,1,1
2974,9465928,109403,4,2.38629436111989
2986,9465930,109403,1,1
3060,9465971,109403,1,1
3069,9465978,109403,1,1
3107,9465997,109403,5,2.6094379124341
3217,9466032,109403,1,1
3225,9466034,109403,1,1
3249,9466042,109403,2,1.69314718055995
3261,9466045,109403,1,1
3279,9466046,109403,2,1.69314718055995
3331,9466055,109403,17,3.83321334405622
3381,9466060,109403,2,1.69314718055995
3411,9466066,109403,1,1
3440,9466068,109403,2,1.69314718055995
3461,9466085,109403,1,1
3496,9466094,109403,1,1
3530,9466103,109403,5,2.6094379124341
3556,9466104,109403,2,1.69314718055995
3612,9466108,109403,1,1
3672,9466127,109403,2,1.69314718055995
3704,9466137,109403,1,1
3711,9466141,109403,1,1
3739,9466147,109403,4,2.38629436111989
3804,9466163,109403,1,1
3835,9466178,109403,1,1
3852,9466180,109403,1,1
3898,9466183,109403,3,2.09861228866811
4003,9466209,109403,5,2.6094379124341
4062,9466218,109403,3,2.09861228866811
4136,9466225,109403,2,1.69314718055995
4220,9466230,109403,4,2.38629436111989
4266,9466236,109403,1,1
4338,9466266,109403,1,1
4399,9466282,109403,1,1
4409,9466286,109403,2,1.69314718055995
4414,9466287,109403,2,1.69314718055995
4441,9466297,109403,2,1.69314718055995
4464,9466301,109403,2,1.69314718055995
4545,9466312,109403,4,2.38629436111989
4606,9466325,109403,2,1.69314718055995
4622,9466332,109403,1,1
4678,9466358,109403,1,1
4687,9466363,109403,1,1
4693,9466364,109403,2,1.69314718055995
4722,9466371,109403,2,1.69314718055995
4787,9466386,109403,3,2.09861228866811
4855,9466392,109403,3,2.09861228866811
